Model,R2,RMSE,MAE
XGBoost,0.2804442879200544,1.0539005108499833,0.8449942179561672
Ridge,0.2633580180316819,1.0663398403404183,0.8704395590504624
Lasso,0.2572154691183347,1.0707764913205637,0.8649932980416345
Random Forest,0.2560346118843805,1.0716272979623822,0.8699839503035453
Gradient Boosting,0.24836171639071047,1.0771392427061874,0.8815799494175265
