gsis_id,season,metric_raw,volume,success_rate,total_epa,team,position_group,metric_secondary,mean_season,sd_season,z_score,years_exp,age,prev_team,changed_team,years_since_change,transition_season,new_team,rel_time,post_transition,phase,team_pos_avg,team_quality,team_pass_epa_per_play,team_rush_epa_per_play,team_sack_rate,pre_trend_slope
00-0019596,2019,0.021802466013125205,642,NA,NA,NE,QB,0.4190031152647977,0.05064147465356603,0.12041463029266118,-0.23949754751851327,19,42.078028747433265,NE,0,0,2021,TB,-2,0,Pre,-0.23949754751851327,-0.04307692307692309,0.01751319712665716,-0.06671635550787272,0.04307692307692309,0
00-0019596,2021,0.18409085430465977,742,NA,NA,TB,QB,0.5067385444743937,0.01496538735763887,0.12547600703668577,1.3478709670572577,21,44.07939767282683,NE,1,1,2021,TB,0,1,Post,1.3478709670572577,-0.030463576158940388,0.18029661927558555,-0.006273988459993235,0.030463576158940388,0
00-0019596,2022,0.054289364342013334,761,NA,NA,TB,QB,0.47306176084099877,0.004703017132530481,0.11601738792322241,0.42740444425707924,22,45.07871321013005,TB,0,1,2021,TB,1,1,Post,0.42740444425707924,-0.028241335044929358,0.04039906853745905,-0.2201920015558922,0.028241335044929358,0
00-0021206,2015,0.011931122532293701,319,NA,NA,CLE,QB,0.43260188087774293,0.02947295226827434,0.11904789576584696,-0.14735102727463012,13,36.16153319644079,NA,0,0,2017,NYJ,-2,0,Pre,-0.5643478064468471,-0.07957957957957956,-0.08133727657043485,-0.10314664160119341,0.07957957957957956,0
00-0021206,2017,0.010371394157162645,437,NA,NA,NYJ,QB,0.44164759725400465,-0.00488666505582547,0.13338001634337268,0.11439539168827106,15,38.16290212183436,CLE,1,1,2017,NYJ,0,1,Post,0.11439539168827106,-0.08407871198568871,-0.05144644368197311,-0.10655600679393191,0.08407871198568871,0
00-0022084,2015,7.044642857142857,112,0.44642857142857145,NA,SF,WR_TE,NA,7.5952478073094865,1.3586955294526155,-0.4052452799255582,12,34.91033538672142,NA,0,0,2016,DET,-1,0,Pre,0.42362586149574366,-0.11158996362249002,-0.11158996362249002,-0.05591541065206941,0.09122203098106711,0
00-0022084,2016,6.147368421052631,95,0.5894736842105263,NA,DET,WR_TE,NA,7.368154466071593,1.475240900789155,-0.8275164038401617,13,35.912388774811774,SF,1,1,2016,DET,0,1,Post,0.023259272271484454,0.11689821687158118,0.11689821687158118,-0.09284045783837483,0.05845181674565561,0
00-0022943,2015,7.5,110,0.5454545454545456,NA,NO,WR_TE,NA,7.5952478073094865,1.3586955294526155,-0.07010239251163167,11,34.70225872689939,NA,0,0,2017,BAL,-2,0,Pre,0.3517468019977491,0.14567355789464956,0.14567355789464956,-0.07944313177493938,0.045649072753209674,0
00-0022943,2017,6.525,80,0.55,NA,BAL,WR_TE,NA,7.3765744897261225,1.4996147088396286,-0.5678621880049798,13,36.70362765229295,NO,1,1,2017,BAL,0,1,Post,-0.7623767244281996,-0.08235834912467302,-0.08235834912467302,-0.0700954646033889,0.045302013422818775,0
00-0023436,2016,0.0852163625970863,519,NA,NA,KC,QB,0.464354527938343,0.05029986082672367,0.13299532165090008,0.26253932346594183,11,32.32032854209446,KC,0,0,2018,WAS,-2,0,Pre,0.26253932346594183,-0.05517241379310336,0.06837917339605494,-0.06667005000294528,0.05517241379310336,1.0365384581913202
00-0023436,2017,0.1683843506929324,541,NA,NA,KC,QB,0.4750462107208874,-0.00488666505582547,0.13338001634337268,1.2990777816572614,12,33.319644079397676,KC,0,0,2018,WAS,-1,0,Pre,1.2990777816572614,-0.06368330464716004,0.15437345056152268,-0.022820139930464615,0.06368330464716004,1.0365384581913202
00-0023436,2018,-0.04574509317698601,351,NA,NA,WAS,QB,0.4387464387464389,0.05422883965092461,0.13375802610754262,-0.7474238050397866,13,34.31895961670089,KC,1,1,2018,WAS,0,1,Post,-0.7474238050397866,-0.07913669064748187,-0.10989144702601476,-0.02774142997598553,0.07913669064748187,1.0365384581913202
00-0023459,2022,-0.031277317604713153,577,NA,NA,GB,QB,0.4436741767764299,0.004703017132530481,0.11601738792322241,-0.31012881242469087,17,38.74880219028063,GB,0,0,2024,NYJ,-2,0,Pre,-0.31012881242469087,-0.05351170568561875,-0.024274502108682622,0.011250506280064474,0.05351170568561875,0
00-0023459,2024,-0.0020169089078976975,627,NA,NA,NYJ,QB,0.4338118022328549,0.01967318518647558,0.14199634395299676,-0.15275107436254187,19,40.7501711156742,GB,1,1,2024,NYJ,0,1,Post,-0.15275107436254187,-0.061255742725880545,0.013457409876826004,-0.06543426817657694,0.061255742725880545,0
